dataset_doi,repository,landing_url,landing_host,dataset_title,retrieved_at,hal_modified_at,source_fields,has_misfiled_source,halId_s,hal_uri,hal_title,hal_docType,publication_doi,producedDateY_i,laboratories,source_field,field_ok,misfiled_dataset_link
10.5281/ZENODO.3763766,Zenodo,https://zenodo.org/record/3763766,zenodo.org,"Water table depth dataset collected at Frasne peatland (192ha, Jura Mountains, France)",2026-09-22T03:38:00Z,2026-09-22T03:38:00Z,relatedData_s,False,insu-05295444,https://insu.hal.science/insu-05295444v1,Hydrological and temperature controls on CO2 and CH4 exchange between a mid-altitude mountain peatland and the atmosphere,ART,10.19189/001c.143644,2025,LCE | CNRS | UMLP | UdeM | SNO Karst | INSU - CNRS | LTSER-ZAAJ | RZA | INEE-CNRS | SAS,relatedData_s,True,False
10.5281/ZENODO.3763342,Zenodo,https://zenodo.org/record/3763342,zenodo.org,"Soil-meteorological dataset collected at Frasne peatland (192ha, Jura Mountains, France)",2026-09-22T03:38:00Z,2026-09-22T03:38:00Z,relatedData_s,False,insu-05295444,https://insu.hal.science/insu-05295444v1,Hydrological and temperature controls on CO2 and CH4 exchange between a mid-altitude mountain peatland and the atmosphere,ART,10.19189/001c.143644,2025,LCE | CNRS | UMLP | UdeM | SNO Karst | INSU - CNRS | LTSER-ZAAJ | RZA | INEE-CNRS | SAS,relatedData_s,True,False
10.57745/ESBF7R,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.57745/ESBF7R,entrepot.recherche.data.gouv.fr,Gaussian Splatting Map Registration with Orthographic Bird’s-Eye-View Renderings,2026-09-22T03:34:05Z,2026-09-22T03:34:05Z,relatedData_s,False,hal-05444500,https://inria.hal.science/hal-05444500v1,Gaussian Splatting Map Registration with Orthographic Bird's-Eye-View Renderings,COMM,,2026,TANGRAM | Inria | LORIA - ALGO | LORIA | UL | CNRS | ICB | UTBM | UBE,relatedData_s,True,False
10.17632/zscjbdvr9v.3,Mendeley Data,https://data.mendeley.com/datasets/zscjbdvr9v/3,data.mendeley.com,Parcel Manager Data set,2026-09-22T03:33:17Z,2026-09-22T03:33:17Z,relatedData_s,False,hal-03700820,https://hal.science/hal-03700820v1,Parcel Manager: a parcel reshaping model incorporating design rules of residential development,ART,10.1111/tgis.12970,2022,LaSTIG | EIVP | ENSG | IGN | ThéMA | UB | CNRS | UMLP,relatedData_s,True,False
10.5281/zenodo.16895987,Zenodo,https://zenodo.org/doi/10.5281/zenodo.16895987,zenodo.org,A composite gradient index lens for wideband elastic waves focusing: Design approach and experimental validation at constant thickness,2026-09-22T03:32:14Z,2026-09-22T03:32:14Z,relatedPublication_s,True,hal-05212119,https://hal.science/hal-05212119v1,A composite gradient index lens for wideband elastic waves focusing: Design approach and experimental validation at constant thickness,ART,10.1016/j.compstruct.2025.119500,2025,SYMME | USMB [Université de Savoie] [Université de Chambéry] | FEMTO-ST | UTBM | SUPMICROTECH - ENSMM | CNRS | UMLP | ICB | UBE,relatedPublication_s,False,True
10.6084/m9.figshare.25907659.v2,Figshare,https://figshare.com/articles/dataset/Viniculture_archaeological_and_modern_datasets/25907659/2,figshare.com,Viniculture archaeological and modern datasets,2026-09-22T03:30:42Z,2026-09-22T03:30:42Z,relatedData_s,False,hal-04759332,https://hal.science/hal-04759332v1,Seed morphometrics unravels the evolutionary history of grapevine in France,ART,10.1038/s41598-024-72692-6,2024,UMR ISEM | Cirad | IRD | EPHE | PSL | CNRS | UM | UMR AGAP | INRAE | Institut Agro,relatedData_s,True,False
10.5281/zenodo.8387335,Zenodo,https://zenodo.org/record/8387335,zenodo.org,"Comment on Manna et al. SARS-CoV-2 Inactivation in Aerosol by Means of Radiated Microwaves. Viruses 2023, 15, 1443",2026-09-22T03:29:42Z,2026-09-22T03:29:42Z,relatedPublication_s,True,hal-04248976,https://hal.science/hal-04248976v1,"Comment on Manna et al. SARS-CoV-2 Inactivation in Aerosol by Means of Radiated Microwaves. Viruses 2023, 15, 1443",ART,10.3390/v15102110,2023,IGDORE | iLM - LUMINESCENCE | ILM | UCBL | CNRS | ICB | UTBM | UB | UBFC,relatedPublication_s,False,True
10.15454/ECLYGT,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.15454/ECLYGT,entrepot.recherche.data.gouv.fr,Land Use Land Cover High Resolution Map (5-m) for Côte-d’Or (21),2026-09-22T03:27:25Z,2026-09-22T03:27:25Z,relatedData_s,False,hal-01774883,https://hal.science/hal-01774883v1,Visual structure of landscapes seen from built environment,ART,10.1016/j.ufug.2018.03.020,2018,CESAER | INRA | ThéMA | UB | CNRS | UMLP,relatedData_s,True,False
10.57745/GVXDND,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.57745/GVXDND,entrepot.recherche.data.gouv.fr,Dataset of aroma release in vitro (Digimouth),2026-09-18T17:36:42Z,2026-09-18T17:36:42Z,relatedData_s,False,hal-05674166,https://institut-agro-dijon.hal.science/hal-05674166v1,A dataset of in vitro aroma release kinetics performed with Proton Transfer Reaction-Time of Flight- Mass Spectrometry (PTR-ToF-MS),ART,10.1016/j.dib.2026.112994,2026,CSGA | CNRS | INRAE | Institut Agro | UBE | FFOPP | SayFood,relatedData_s,True,False
10.5281/zenodo.20523512,Zenodo,https://zenodo.org/doi/10.5281/zenodo.20523512,zenodo.org,Inventaire des capteurs et protocoles pour le projet BIODICAPT,2026-09-17T17:53:11Z,2026-09-17T17:53:11Z,relatedPublication_s,True,hal-05594176,https://hal.science/hal-05594176v1,Inventaire des capteurs et protocoles pour le projet BIODICAPT,REPORT,10.5281/zenodo.19609812,2026,CESCO | MNHN | SU | CNRS | DPT SPE | INRAE | IGEPP | UR | Institut Agro | LIVE,relatedPublication_s,False,True
10.5061/dryad.t4b8gtjb1,Dryad,https://datadryad.org/dataset/doi:10.5061/dryad.t4b8gtjb1,datadryad.org,Data from: Weed management modifies functional properties of both weeds and microbial nitrogen-cycling communities in Mediterranean vineyards,2026-09-17T03:58:51Z,2026-09-17T03:58:51Z,relatedData_s,False,hal-05391220,https://hal.science/hal-05391220v2,Weed management modifies functional properties of both weeds and microbial nitrogen-cycling communities in Mediterranean vineyards,ART,10.1111/1365-2664.14833,2025,CEFE | EPHE | PSL | CNRS | IRD [Occitanie] | IRD | INRAE | Institut Agro | UM | UMPV,relatedData_s,True,False
10.57745/TMB0HR,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.57745/TMB0HR,entrepot.recherche.data.gouv.fr,Near surface geophysics dataset from Bajocian limestones outcropping in 4 quarries of the eastern Paris Basin,2026-09-17T03:56:51Z,2026-09-17T03:56:51Z,relatedData_s,False,hal-04635083,https://hal.science/hal-04635083v3,Imaging Bajocian coral ridges in the Paris Basin and deciphering their origin,ART,10.1111/bre.70034,2025,GEOPS | INSU - CNRS | CNRS | BGS | EPHE | PSL | UBE | ANDRA,relatedData_s,True,False
10.57745/2HITDV,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.57745/2HITDV,entrepot.recherche.data.gouv.fr,DEPHY FERME network's low input winegrowing systems: performances and traceability,2026-09-17T03:54:12Z,2026-09-17T03:54:12Z,relatedData_s,False,hal-04547704,https://hal.inrae.fr/hal-04547704v1,French low-input winegrowing demonstration farms: a dataset of their operations traceability and sustainability performances.,ART,10.1016/j.dib.2024.110415,2024,UMR SAVE | UB | Bordeaux Sciences Agro | INRAE | IDELE | UBFC | Institut Agro,relatedData_s,True,False
10.57745/2HITDV,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.57745/2HITDV,entrepot.recherche.data.gouv.fr,DEPHY FERME network's low input winegrowing systems: performances and traceability,2026-09-17T03:54:12Z,2026-09-17T03:54:12Z,relatedData_s,False,hal-04581536,https://hal.inrae.fr/hal-04581536v1,To what extent can a phase-out of pesticides in viticulture be achieved? Learning from the efforts of a large farm network after 10 years,ART,10.20870/oeno-one.2024.58.2.7885,2024,IDELE | UMR ABSys | Cirad | CIHEAM-IAMM | CIHEAM | INRAE | Institut Agro | UB | UBFC | UMR SAVE,relatedData_s,True,False
10.5061/dryad.qv9s4mwkv,Dryad,https://datadryad.org/dataset/doi:10.5061/dryad.qv9s4mwkv,datadryad.org,Direct and indirect estimates of dispersal support strong juvenile philopatry and male-biased dispersal in a freshwater turtle species (Emys orbicularis),2026-09-17T03:52:49Z,2026-09-17T03:52:49Z,relatedData_s,False,hal-04233962,https://hal.inrae.fr/hal-04233962v1,Direct and indirect estimates of dispersal support strong juvenile philopatry and male‐biased dispersal in a freshwater turtle species (<i>Emys orbicularis</i>),ART,10.1111/fwb.14171,2023,LBBE | UCBL | VAS | CNRS | BGS | UB | CEFE | UPVM | EPHE | PSL,relatedData_s,True,False
10.15454/BMLIQI,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.15454/BMLIQI,entrepot.recherche.data.gouv.fr,Carabid beetles have hump-shaped responses to disturbance and resource gradients within agricultural landscapes - Dataset,2026-09-17T03:51:05Z,2026-09-17T03:51:05Z,relatedData_s,False,hal-03967717,https://hal.inrae.fr/hal-03967717v1,Carabid beetles have hump‐shaped responses to disturbance and resource gradients within agricultural landscapes,ART,10.1111/1365-2664.14357,2023,"UB | UBFC | INRAE | Institut Agro | UMR ABSys | Cirad | CIHEAM-IAMM | CIHEAM | DYNAFOR | ENSAT, INP-ENSAT, AgroToulouse, INP-AgroToulouse",relatedData_s,True,False
