halId_s,uri_s,title_s,doiId_s,code_repositories,swhids,swh_browse_urls,related_publications,programming_languages,hal_file
hal-04742000,https://hal.science/hal-04742000v1,CARDAMOM: Cell type Analysis from scRna-seq Data Achieved from a Mixture MOdel,,,swh:1:dir:df284352a99198633d18d8a93ed94150a013628c;origin=https://github.com/eliasventre/cardamom;visit=swh:1:snp:0a0d3bc7d1f3cf408c31c28c55d844c2370118ac;anchor=swh:1:rev:e3ad41822b10a16ec5f4ea7e714e46b20999c27b,https://archive.softwareheritage.org/browse/swh:1:dir:df284352a99198633d18d8a93ed94150a013628c,10.1371/journal.pcbi.1010962,Python 3,
hal-04945340,https://hal.inrae.fr/hal-04945340v1,Caribu (CAnopy RadIative BUdget),,https://github.com/openalea-incubator/caribu,swh:1:dir:7ad895914a1483abace1a943117aadff073da87b;origin=https://github.com/openalea-incubator/caribu;visit=swh:1:snp:89f6a24848484d39368712b4a6de9582059cee92;anchor=swh:1:rev:5be29662ca257bc6056d29f8d55940c16eb98735,https://archive.softwareheritage.org/browse/swh:1:dir:7ad895914a1483abace1a943117aadff073da87b,,C++ | Python,
hal-02983422,https://inria.hal.science/hal-02983422v1,CGAL 2D Hyperbolic Delaunay Triangulations,,https://github.com/CGAL/cgal/tree/master/Hyperbolic_triangulation_2,swh:1:dir:abc0e2cbbfdfee8de52f0842263fbadf65f5b211;origin=https://github.com/CGAL/cgal;visit=swh:1:snp:78e145aa8174e576786284475a76cf6f187b3475;anchor=swh:1:rev:b86a5018c7f5f733c80fe40eee65803c112f2685;path=/Hyperbolic_triangulation_2/,https://archive.softwareheritage.org/browse/swh:1:dir:abc0e2cbbfdfee8de52f0842263fbadf65f5b211,hal-00961390,C++,
hal-02983420,https://inria.hal.science/hal-02983420v1,CGAL 3D Periodic Mesh Generation,,https://github.com/CGAL/cgal/tree/master/Periodic_3_mesh_3,swh:1:dir:0a5e5b721c21330f31a0511621a934d9aec38e4f;origin=https://github.com/CGAL/cgal;visit=swh:1:snp:78e145aa8174e576786284475a76cf6f187b3475;anchor=swh:1:rev:b86a5018c7f5f733c80fe40eee65803c112f2685;path=/Periodic_3_mesh_3/,https://archive.softwareheritage.org/browse/swh:1:dir:0a5e5b721c21330f31a0511621a934d9aec38e4f,hal-01089967,C++,
hal-05608340,https://hal.science/hal-05608340v1,CLGC,,https://github.com/HannaAbiAkl/clgc,swh:1:dir:b754d67639691882d5fbd858a93903033a0107f3;origin=https://github.com/HannaAbiAkl/clgc;visit=swh:1:snp:40edfb3d9bef40f947adad0be4e14b54cf82a3e7;anchor=swh:1:rev:c9a418fb5aa9c69b3579173278d17ba68ff244f7,https://archive.softwareheritage.org/browse/swh:1:dir:b754d67639691882d5fbd858a93903033a0107f3,hal-05606250 | hal-05248053,Python,
hal-02092571,https://inria.hal.science/hal-02092571v1,CloudMdsQL,,http://cloudmdsql.gforge.inria.fr,,,,Java | C++,
hal-05432240,https://inria.hal.science/hal-05432240v2,CoPubli: the software,,https://github.com/Inria-Datalake/Copublications,swh:1:dir:6edfb856cac235a788f671d6658ee94e8fa5283f;origin=https://github.com/Inria-Datalake/Copublications;visit=swh:1:snp:eef337a732b99b4e39819fe4116f89f329334aaa;anchor=swh:1:rev:f4a01927355def345f7078f5891b15954810f311,https://archive.softwareheritage.org/browse/swh:1:dir:6edfb856cac235a788f671d6658ee94e8fa5283f,,"Python, JSON, TOML",
hal-04170333,https://hal.science/hal-04170333v1,Corese,10.5281/zenodo.10376241,https://github.com/Wimmics/corese,swh:1:dir:7ec9a0bcccba1254457985de26d524d0d5c4a9c5,https://archive.softwareheritage.org/browse/swh:1:dir:7ec9a0bcccba1254457985de26d524d0d5c4a9c5,hal-01531219,Java,
hal-04907384,https://hal.science/hal-04907384v1,"cotcot: conditions of order two, conjugate times",10.5281/zenodo.14722043,,swh:1:dir:c02953bfb701d30f057c26e9619233821e63ecb9;origin=https://hal.archives-ouvertes.fr/hal-04907384;visit=swh:1:snp:8b88eae872d72a9c460aee25a3a93e4a842a4934;anchor=swh:1:rel:0573b1654a52251014b1a50c89054f2c597c2657;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:c02953bfb701d30f057c26e9619233821e63ecb9,,,
hal-03445736,https://hal.science/hal-03445736v1,DDG : A C++ High Level Data Dependence Graph Library,,,swh:1:dir:4f3c8565cd0458811546f15c8cdbd45d7b7d5e99;origin=https://hal.archives-ouvertes.fr/hal-03445736;visit=swh:1:snp:02f0329065aa0998f15261721418c6af35ffbf8e;anchor=swh:1:rel:44f40b0bdf1f3004777f705b5beaf0d5b1f8ac43;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:4f3c8565cd0458811546f15c8cdbd45d7b7d5e99,,,https://hal.science/hal-03445736/document
hal-02094966,https://inria.hal.science/hal-02094966v1,DfAnalyzer,,https://github.com/vssousa/dfanalyzer-spark,swh:1:dir:8420c8001f138fc4a88dca9d770079841e3b3498;origin=https://github.com/vssousa/dfanalyzer-spark;visit=swh:1:snp:1fa616c0a29c131c0ffbf4f0553606e3b4686014;anchor=swh:1:rev:36a28e574c6ca4643aa536bd332fa9fddb0bfa24,https://archive.softwareheritage.org/browse/swh:1:dir:8420c8001f138fc4a88dca9d770079841e3b3498,,Java,
hal-03445891,https://hal.science/hal-03445891v1,Dilworth Decomposition in C++ using the LEDA Graph library,,,swh:1:dir:96814a40df85e15f23dec922f30ed0ce5c3f6336;origin=https://hal.archives-ouvertes.fr/hal-03445891;visit=swh:1:snp:a39dbdfa45e4a236e06b22efb7f9495b7b621416;anchor=swh:1:rel:945df584d6c66ea6973544f084124038c4d0a51f;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:96814a40df85e15f23dec922f30ed0ce5c3f6336,,,https://hal.science/hal-03445891/document
hal-03413044,https://hal.science/hal-03413044v1,Ernie Extension,,https://github.com/vwesselkamp/ernie-extension,swh:1:dir:6cf9d69e8467428628b93fd5e91b2c5f1684e7e7;origin=https://hal.archives-ouvertes.fr/hal-03413044;visit=swh:1:snp:69b5f385b8f53f754ddbc6174b9d6cefc869e8fa;anchor=swh:1:rev:55f6308a857dd97100e4b06a5d6647d5330eadaf;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:6cf9d69e8467428628b93fd5e91b2c5f1684e7e7,,,https://hal.science/hal-03413044/document
hal-03445991,https://hal.science/hal-03445991v1,FADAlib: an open source C++ library for fuzzy array dataflow analysis,,,swh:1:dir:fc7481ee438316b9ce5b273ca894114bf658d3d9;origin=https://hal.archives-ouvertes.fr/hal-03445991;visit=swh:1:snp:518f2d28a2d2a1ad15ee2f630b40be3e24a0f8b1;anchor=swh:1:rel:488f5aa5aaa21fc92f24f0f7c9b571e56f1325ec;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:fc7481ee438316b9ce5b273ca894114bf658d3d9,,,https://hal.science/hal-03445991/document
hal-01767263,https://inria.hal.science/hal-01767263v1,Formal study in Coq of pi computations using arithmetic-geometric means,,,swh:1:dir:47d41cb06472ccf913aba4be5b08aeb725a8888d;origin=https://hal.archives-ouvertes.fr/hal-01767263;visit=swh:1:snp:cd55c2657ac70c9b15ae4384b6af1ae6ce8df512;anchor=swh:1:rev:b1e197c030e66d588987087a193fc3a88d8bd5ed;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:47d41cb06472ccf913aba4be5b08aeb725a8888d,,,https://inria.hal.science/hal-01767263/document
hal-02093002,https://inria.hal.science/hal-02093002v1,FP-Hadoop,,https://gforge.inria.fr/projects/fp-hadoop,,,,,
hal-04849450,https://hal.science/hal-04849450v1,funFEM: Clustering in the Discriminative Functional Subspace,,https://cran.r-project.org/web/packages/funFEM/,swh:1:dir:06ab73a52ef37b520f00abf288369eac105a31e0;origin=https://hal.archives-ouvertes.fr/hal-04849450;visit=swh:1:snp:b60243550abc2d97cb5c63c27bdda7ed74bbb2b5;anchor=swh:1:rel:d1cae8feb815c22ddcfa8fd19475ef28e5c9ac75;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:06ab73a52ef37b520f00abf288369eac105a31e0,hal-01024186,R,
